league,season,team_id,team_code,team_name,g,w,l,w_pct,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,min,off_rating,def_rating,net_rating,pace,poss,ts_pct,efg_pct,pie,orb_pct,drb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,opp_pts,opp_fgm,opp_fga,opp_ftm,opp_fta,opp_tov,opp_oreb,opp_dreb,source,srs,srs_off,srs_def,sos
WNBA,1998,1611661320,LAS,Los Angeles Sparks,30,12,18,0.4,797,1914,0.416,111,335,0.331,443,609,0.727,337,683,1020,472,229,148,510.0,675,2148,1205.0,93.6,95.5,-1.9,90.96,2295,0.492,0.445,0.48,0.357,0.641,0.222,0.318,0.442,0.212,0.359,0.365,2169.0,780.0,1898.0,490.0,693.0,481.0,337.0,663.0,nba_api:leaguedashteamstats,-0.5257575757575852,1.6551443602693547,-2.18090193602694,0.17424242424241476
WNBA,1998,1611661313,NYL,New York Liberty,30,18,12,0.6,758,1784,0.425,92,281,0.327,450,629,0.715,320,623,943,513,291,84,501.0,629,2058,1210.0,93.2,89.5,3.7,87.37,2208,0.499,0.451,0.544,0.36,0.681,0.227,0.353,0.449,0.244,0.319,0.369,1966.0,709.0,1693.0,445.0,625.0,537.0,272.0,620.0,nba_api:leaguedashteamstats,2.2071428571428564,-2.5169702380952454,4.724113095238102,-0.8595238095238105
WNBA,1998,1611661317,PHO,Phoenix Mercury,30,19,11,0.633,787,1856,0.424,130,405,0.321,513,709,0.724,327,614,941,543,288,86,483.0,595,2217,1215.0,98.5,90.2,8.3,88.83,2251,0.511,0.459,0.579,0.37,0.655,0.215,0.382,0.456,0.259,0.345,0.344,2025.0,758.0,1747.0,432.0,601.0,581.0,298.0,643.0,nba_api:leaguedashteamstats,5.457792207792217,3.11877110389611,2.3390211038961066,-0.9422077922077836
WNBA,1998,1611661318,SAC,Sacramento Monarchs,29,7,22,0.241,711,1754,0.405,71,276,0.257,344,519,0.663,318,587,905,449,255,101,511.0,615,1837,1165.0,87.0,95.4,-8.4,87.06,2112,0.463,0.426,0.414,0.37,0.65,0.242,0.296,0.451,0.23,0.35,0.393,2017.0,705.0,1680.0,502.0,661.0,486.0,297.0,624.0,nba_api:leaguedashteamstats,-4.24783549783551,-6.303672378547387,2.0558368807118765,1.2854978354978233
WNBA,1998,1611661319,UTA,Utah Starzz,30,8,22,0.267,777,1837,0.423,113,346,0.327,425,606,0.701,302,699,1001,481,221,170,543.0,638,2092,1210.0,90.7,99.6,-8.9,91.42,2308,0.497,0.454,0.429,0.324,0.652,0.235,0.331,0.463,0.192,0.348,0.349,2292.0,832.0,1942.0,493.0,678.0,442.0,336.0,685.0,nba_api:leaguedashteamstats,-5.578571428571437,0.26725595238095057,-5.845827380952388,1.121428571428563
WNBA,1998,1611661322,WAS,Washington Mystics,29,3,26,0.103,692,1749,0.396,112,414,0.271,390,603,0.647,315,577,892,379,249,85,612.0,661,1886,1165.0,83.8,103.2,-19.4,92.99,2251,0.468,0.428,0.29,0.342,0.631,0.272,0.346,0.499,0.216,0.369,0.403,2336.0,853.0,1822.0,519.0,734.0,489.0,314.0,681.0,nba_api:leaguedashteamstats,-12.037878787878789,-3.2831847643097603,-8.754694023569028,3.328787878787878
WNBA,1999,1611661314,CHA,Charlotte Sting,32,15,17,0.469,793,1805,0.439,108,369,0.293,410,535,0.766,268,685,953,568,233,97,469.0,560,2104,1285.0,95.8,97.2,-1.4,82.18,2196,0.516,0.469,0.531,0.33,0.659,0.214,0.296,0.459,0.2,0.341,0.272,2142.0,814.0,1920.0,378.0,522.0,440.0,318.0,626.0,nba_api:leaguedashteamstats,-1.787037037037039,-3.782804232804234,1.9957671957671952,-0.599537037037039
WNBA,1999,1611661315,CLE,Cleveland Rockers,32,7,25,0.219,746,1800,0.414,86,301,0.286,374,521,0.718,279,668,947,477,222,107,530.0,613,1952,1242.016667,88.1,97.3,-9.2,86.01,2219,0.481,0.438,0.427,0.339,0.654,0.239,0.29,0.465,0.204,0.346,0.323,2172.0,806.0,1877.0,427.0,606.0,455.0,318.0,657.0,nba_api:leaguedashteamstats,-5.953703703703724,-6.133994708994711,0.18029100529098763,0.3900462962962763
WNBA,1999,1611661321,DET,Detroit Shock,32,15,17,0.469,788,1965,0.401,119,332,0.358,535,763,0.701,320,673,993,461,237,96,482.0,723,2230,1295.483333,92.9,95.6,-2.7,88.91,2401,0.485,0.431,0.441,0.329,0.667,0.201,0.389,0.467,0.221,0.333,0.383,2293.0,829.0,1897.0,521.0,726.0,531.0,292.0,767.0,nba_api:leaguedashteamstats,-2.2592592592592506,1.2667989417989434,-3.526058201058194,-0.25925925925925064
WNBA,1999,1611661316,HOU,Houston Comets,32,26,6,0.813,841,1912,0.44,176,547,0.322,509,622,0.818,303,682,985,499,272,139,452.0,586,2367,1285.0,104.4,91.4,13.1,84.66,2267,0.541,0.486,0.619,0.351,0.631,0.199,0.325,0.422,0.217,0.369,0.29,2070.0,763.0,1954.0,419.0,566.0,491.0,350.0,621.0,nba_api:leaguedashteamstats,8.620370370370367,3.8066137566137526,4.813756613756613,-0.6608796296296333
