season,team_id,team_code,games,mov,srs,srs_off,srs_def,sos,home_court_adv,treatment,cap
1997,1611661316,HOU,28,6.321428571428571,5.468750000000009,2.109375000000008,3.3593750000000004,-0.8526785714285623,4.232142857142848,cap,26.0
1997,1611661317,PHO,28,4.0,3.3124999999999996,-0.6145833333333375,3.927083333333337,-0.6875000000000004,4.232142857142848,cap,26.0
1997,1611661313,NYL,28,2.392857142857143,2.093749999999999,-1.4114583333333295,3.5052083333333286,-0.2991071428571437,4.232142857142848,cap,26.0
1997,1611661320,LAS,28,2.2142857142857144,1.9375000000000062,5.322916666666663,-3.385416666666657,-0.2767857142857082,4.232142857142848,cap,26.0
1997,1611661315,CLE,28,1.7857142857142858,1.4375000000000036,0.8645833333333348,0.5729166666666687,-0.34821428571428226,4.232142857142848,cap,26.0
1997,1611661314,CHA,28,1.2857142857142858,1.2187499999999991,-2.286458333333335,3.505208333333334,-0.0669642857142867,4.232142857142848,cap,26.0
1997,1611661318,SAC,28,-7.5,-6.500000000000002,-0.31250000000000355,-6.187499999999998,0.9999999999999982,4.232142857142848,cap,26.0
1997,1611661319,UTA,28,-10.5,-8.968750000000004,-3.6718749999999973,-5.296875000000005,1.5312499999999964,4.232142857142848,cap,26.0
1998,1611661316,HOU,30,12.566666666666666,10.430086580086591,4.639733104858106,5.790353475228486,-2.136580086580075,2.8933333333333398,cap,26.0
1998,1611661317,PHO,30,6.4,5.457792207792217,3.11877110389611,2.3390211038961066,-0.9422077922077836,2.8933333333333398,cap,26.0
1998,1611661315,CLE,30,2.9,2.4114718614718704,2.983712782587789,-0.5722409211159185,-0.4885281385281295,2.8933333333333398,cap,26.0
1998,1611661313,NYL,30,3.066666666666667,2.2071428571428564,-2.5169702380952454,4.724113095238102,-0.8595238095238105,2.8933333333333398,cap,26.0
1998,1611661314,CHA,30,3.066666666666667,1.970779220779228,0.5315146103896158,1.4392646103896123,-1.0958874458874388,2.8933333333333398,cap,26.0
1998,1611661321,DET,30,0.3,-0.0872294372294391,-1.0923045334295347,1.0050750962000956,-0.3872294372294391,2.8933333333333398,cap,26.0
1998,1611661320,LAS,30,-0.7,-0.5257575757575852,1.6551443602693547,-2.18090193602694,0.17424242424241476,2.8933333333333398,cap,26.0
1998,1611661318,SAC,30,-5.533333333333333,-4.24783549783551,-6.303672378547387,2.0558368807118765,1.2854978354978233,2.8933333333333398,cap,26.0
