league,season,player_id,player_name,team_id,team_code,team_count,age,gp,gs,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,off_rating,def_rating,net_rating,ts_pct,efg_pct,usg_pct,ast_pct,oreb_pct,dreb_pct,reb_pct,pie,poss,pct_pts,pct_reb,pct_ast,source
WNBA,2001,100557,Tonya Massaline,1611661322,WAS,1,24.0,30,,334.61833333333334,41,114,0.36,10,29,0.345,9,11,0.818,19,24,43,10,4,2,14,5,101,-42,83.7,90.4,-6.7,0.425,0.404,0.189,0.062,0.059,0.078,0.068,0.073,602,0.2,0.161,0.085,nba_api:leaguedashplayerstats
WNBA,2001,100218,Towana Alhaleem,1611661323,ORL,1,27.0,26,,252.49833333333333,19,58,0.328,4,11,0.364,7,14,0.5,15,23,38,14,11,0,28,20,49,-36,87.1,95.2,-8.1,0.382,0.362,0.174,0.117,0.066,0.103,0.085,0.02,458,0.123,0.204,0.175,nba_api:leaguedashplayerstats
WNBA,2001,100182,Tracy Reid,1611661326,MIA,1,25.0,21,,277.1666666666667,32,63,0.508,0,0,0.0,16,26,0.615,10,27,37,13,15,5,25,28,80,-27,85.5,91.1,-5.6,0.537,0.508,0.183,0.102,0.046,0.112,0.081,0.086,483,0.194,0.199,0.137,nba_api:leaguedashplayerstats
WNBA,2001,100237,Tricia Bader Binford,1611661315,CLE,1,29.0,19,,113.71166666666667,8,20,0.4,5,13,0.385,0,0,0.0,2,10,12,11,5,0,8,7,21,44,94.7,74.0,20.6,0.525,0.525,0.117,0.159,0.021,0.093,0.059,0.085,206,0.108,0.141,0.177,nba_api:leaguedashplayerstats
WNBA,2001,100399,Trisha Fallon,1611661317,PHO,1,29.0,31,,840.815,127,259,0.49,15,37,0.405,53,65,0.815,35,42,77,33,35,12,47,43,322,-14,90.5,92.2,-1.7,0.56,0.519,0.192,0.087,0.045,0.057,0.051,0.119,1494,0.238,0.127,0.096,nba_api:leaguedashplayerstats
WNBA,2001,100427,Trisha Stafford-Odom,1611661316,HOU,1,31.0,30,,367.99333333333334,39,106,0.368,0,1,0.0,35,52,0.673,38,47,85,16,12,2,26,42,113,-15,89.4,92.1,-2.7,0.438,0.368,0.196,0.098,0.095,0.143,0.117,0.078,633,0.2,0.266,0.167,nba_api:leaguedashplayerstats
WNBA,2001,100284,Tully Bevilaqua,1611661327,POR,1,29.0,31,,789.0033333333333,39,119,0.328,23,73,0.315,52,71,0.732,27,61,88,103,59,6,52,102,153,7,92.3,91.6,0.6,0.509,0.424,0.126,0.255,0.037,0.082,0.059,0.083,1396,0.119,0.147,0.359,nba_api:leaguedashplayerstats
WNBA,2001,100643,Tynesha Lewis,1611661316,HOU,1,23.0,29,,419.09833333333336,39,92,0.424,8,20,0.4,11,17,0.647,20,41,61,15,11,4,26,26,97,11,90.5,89.5,1.0,0.488,0.467,0.142,0.072,0.05,0.105,0.077,0.075,730,0.147,0.169,0.109,nba_api:leaguedashplayerstats
WNBA,2001,100392,Ukari Figgs,1611661320,LAS,1,25.0,32,,931.895,76,179,0.425,54,117,0.462,51,63,0.81,14,86,100,126,43,4,55,42,257,273,107.5,91.6,15.9,0.622,0.575,0.131,0.213,0.016,0.094,0.056,0.121,1684,0.142,0.124,0.281,nba_api:leaguedashplayerstats
WNBA,2001,100389,Val Whiting,1611661324,MIN,1,30.0,26,,460.27166666666665,24,90,0.267,0,1,0.0,40,54,0.741,25,58,83,16,15,14,34,62,88,-85,84.5,93.1,-8.6,0.387,0.267,0.162,0.085,0.058,0.133,0.096,0.025,811,0.128,0.241,0.116,nba_api:leaguedashplayerstats
WNBA,2001,100215,Vanessa Nygaard,1611661327,POR,1,27.0,31,,259.3883333333333,28,72,0.389,19,49,0.388,1,3,0.333,13,22,35,10,6,2,14,48,76,-56,88.5,101.0,-12.5,0.518,0.521,0.152,0.085,0.048,0.094,0.069,0.024,496,0.173,0.193,0.12,nba_api:leaguedashplayerstats
WNBA,2001,100476,Vedrana Grgin Fonseca,1611661320,LAS,1,27.0,24,,221.54,28,65,0.431,6,19,0.316,9,14,0.643,13,22,35,12,4,1,15,21,71,15,98.8,96.9,1.9,0.499,0.477,0.175,0.089,0.064,0.096,0.081,0.065,423,0.17,0.185,0.133,nba_api:leaguedashplayerstats
WNBA,2001,100458,Vicki Hall,1611661325,IND,2,32.0,27,,347.465,41,100,0.41,7,25,0.28,12,22,0.545,15,34,49,13,5,5,18,33,101,21,91.0,86.5,4.5,0.46,0.445,0.182,0.083,0.045,0.105,0.075,0.065,586,0.189,0.176,0.097,nba_api:leaguedashplayerstats
WNBA,2001,100103,Vickie Johnson,1611661313,NYL,1,30.0,32,,939.9883333333333,135,326,0.414,30,82,0.366,53,70,0.757,23,84,107,87,35,4,52,62,353,14,96.8,95.4,1.3,0.495,0.46,0.221,0.186,0.029,0.104,0.066,0.118,1613,0.226,0.16,0.221,nba_api:leaguedashplayerstats
WNBA,2001,100058,Vicky Bullett,1611661322,WAS,1,34.0,32,,1070.99,112,286,0.392,19,64,0.297,35,48,0.729,65,166,231,41,53,58,53,86,278,-115,84.3,90.0,-5.7,0.453,0.425,0.165,0.083,0.063,0.164,0.113,0.124,1870,0.176,0.269,0.115,nba_api:leaguedashplayerstats
WNBA,2001,100655,Wendi Willits,1611661320,LAS,1,23.0,13,,45.40833333333333,6,20,0.3,2,13,0.154,3,4,0.75,1,4,5,3,1,0,2,0,17,-5,92.0,97.7,-5.7,0.391,0.35,0.24,0.107,0.023,0.1,0.06,0.062,87,0.213,0.139,0.12,nba_api:leaguedashplayerstats
WNBA,2001,100046,Wendy Palmer,1611661321,DET,1,27.0,22,,651.2166666666667,91,215,0.423,11,33,0.333,40,59,0.678,38,116,154,23,23,4,48,64,233,-66,94.7,100.0,-5.3,0.483,0.449,0.222,0.074,0.068,0.227,0.144,0.098,1139,0.216,0.344,0.089,nba_api:leaguedashplayerstats
WNBA,2001,100419,Yolanda Griffith,1611661318,SAC,1,32.0,32,,1079.6683333333333,192,368,0.522,0,0,0.0,134,186,0.72,162,195,357,54,63,37,75,114,518,157,99.8,91.4,8.4,0.576,0.522,0.229,0.108,0.159,0.184,0.172,0.204,1912,0.271,0.388,0.117,nba_api:leaguedashplayerstats
WNBA,2002,100231,Adia Barnes,1611661328,SEA,1,26.0,26,,491.37,37,111,0.333,1,4,0.25,15,29,0.517,45,57,102,28,32,9,25,64,90,30,93.2,88.9,4.3,0.364,0.338,0.147,0.107,0.094,0.131,0.112,0.052,858,0.113,0.263,0.143,nba_api:leaguedashplayerstats
WNBA,2002,100526,Adrian Williams-Strong,1611661317,PHO,1,26.0,32,,878.0283333333333,79,169,0.467,0,0,0.0,42,60,0.7,64,156,220,35,48,29,63,88,200,-110,92.1,98.0,-5.8,0.512,0.467,0.145,0.074,0.082,0.205,0.143,0.109,1549,0.14,0.351,0.122,nba_api:leaguedashplayerstats
WNBA,2002,100718,Adriana Moises Pinto,1611661317,PHO,1,24.0,32,,616.0833333333334,63,164,0.384,19,66,0.288,48,60,0.8,15,45,60,79,30,3,72,53,193,-111,91.5,101.2,-9.8,0.507,0.442,0.205,0.247,0.027,0.087,0.056,0.08,1124,0.188,0.142,0.376,nba_api:leaguedashplayerstats
WNBA,2002,100363,Adrienne Goodson,1611661319,UTA,1,36.0,32,,1099.545,189,419,0.451,8,28,0.286,117,157,0.745,91,90,181,67,45,6,102,92,503,96,100.6,97.5,3.1,0.515,0.461,0.243,0.122,0.095,0.081,0.087,0.107,2077,0.241,0.195,0.162,nba_api:leaguedashplayerstats
WNBA,2002,100100,Adrienne Johnson,1611661323,ORL,1,29.0,32,,601.14,68,181,0.376,18,61,0.295,12,17,0.706,14,32,46,22,15,2,26,40,166,27,100.4,97.9,2.5,0.44,0.425,0.166,0.072,0.025,0.058,0.041,0.045,1079,0.153,0.102,0.112,nba_api:leaguedashplayerstats
WNBA,2002,100216,Alicia Thompson,1611661325,IND,1,26.0,18,,313.19666666666666,39,109,0.358,7,29,0.241,12,17,0.706,12,30,42,14,7,2,18,20,97,15,101.6,98.8,2.8,0.416,0.39,0.206,0.095,0.045,0.111,0.078,0.053,565,0.169,0.179,0.12,nba_api:leaguedashplayerstats
WNBA,2002,100429,Alisa Burras,1611661327,POR,1,28.0,32,,631.2433333333333,117,186,0.629,0,0,0.0,44,52,0.846,52,95,147,7,10,7,49,58,278,-5,91.8,91.9,-0.1,0.665,0.629,0.2,0.025,0.096,0.163,0.131,0.17,1110,0.273,0.317,0.029,nba_api:leaguedashplayerstats
WNBA,2002,100170,Allison Feaster,1611661314,CHA,1,27.0,32,,956.0416666666666,115,292,0.394,79,189,0.418,70,85,0.824,37,81,118,61,39,12,40,79,379,64,101.8,98.1,3.7,0.575,0.529,0.196,0.137,0.044,0.098,0.071,0.121,1623,0.229,0.165,0.168,nba_api:leaguedashplayerstats
WNBA,2002,100642,Amanda Lassiter,1611661328,SEA,2,24.0,30,,603.4,47,140,0.336,20,71,0.282,13,19,0.684,24,45,69,57,29,21,51,62,127,30,91.6,89.9,1.7,0.428,0.407,0.154,0.172,0.041,0.081,0.06,0.05,1079,0.129,0.139,0.23,nba_api:leaguedashplayerstats
WNBA,2002,100516,Amber Hall,1611661327,POR,1,25.0,20,,101.89166666666667,11,24,0.458,0,0,0.0,8,14,0.571,8,18,26,1,7,1,12,12,30,-22,84.3,95.4,-11.2,0.497,0.458,0.169,0.019,0.074,0.22,0.137,0.076,197,0.181,0.31,0.025,nba_api:leaguedashplayerstats
WNBA,2002,100549,Amy Herrig,1611661319,UTA,1,26.0,28,,267.4066666666667,23,53,0.434,0,0,0.0,22,30,0.733,15,42,57,4,9,14,21,35,68,-23,89.4,95.0,-5.6,0.514,0.434,0.151,0.03,0.066,0.163,0.117,0.081,482,0.158,0.269,0.046,nba_api:leaguedashplayerstats
WNBA,2002,100747,Andrea Gardner,1611661319,UTA,1,23.0,30,,193.42,18,49,0.367,0,0,0.0,21,38,0.553,29,32,61,5,3,3,13,35,57,23,92.9,90.5,2.5,0.434,0.367,0.171,0.05,0.14,0.173,0.156,0.05,382,0.161,0.357,0.106,nba_api:leaguedashplayerstats
WNBA,2002,100353,Andrea Nagy,1611661318,SAC,1,31.0,24,,410.98833333333334,12,44,0.273,3,14,0.214,7,16,0.438,3,26,29,73,10,4,31,51,34,-95,87.9,100.3,-12.3,0.333,0.307,0.096,0.313,0.008,0.068,0.037,0.026,738,0.052,0.099,0.471,nba_api:leaguedashplayerstats
WNBA,2002,100059,Andrea Stinson,1611661314,CHA,1,35.0,32,,949.8666666666667,159,349,0.456,29,70,0.414,64,93,0.688,37,140,177,91,37,9,52,56,411,73,102.0,97.4,4.7,0.527,0.497,0.234,0.221,0.044,0.176,0.108,0.166,1621,0.248,0.251,0.258,nba_api:leaguedashplayerstats
WNBA,2002,100445,Ann Wauters,1611661315,CLE,1,22.0,28,,801.7666666666667,120,217,0.553,0,1,0.0,74,87,0.851,45,96,141,39,16,21,59,74,314,-13,92.8,93.6,-0.8,0.615,0.553,0.199,0.113,0.064,0.141,0.102,0.135,1366,0.248,0.228,0.129,nba_api:leaguedashplayerstats
WNBA,2002,100401,Annie Burgess,1611661322,WAS,1,34.0,26,,626.255,37,99,0.374,11,32,0.344,35,45,0.778,16,46,62,93,34,4,41,39,120,7,94.1,92.4,1.7,0.505,0.429,0.128,0.27,0.029,0.076,0.053,0.107,1094,0.117,0.125,0.371,nba_api:leaguedashplayerstats
WNBA,2002,100723,Asjha Jones,1611661322,WAS,1,22.0,32,,611.1466666666666,93,233,0.399,2,10,0.2,20,33,0.606,39,50,89,28,13,17,39,88,208,-92,92.4,99.6,-7.2,0.42,0.403,0.233,0.098,0.07,0.095,0.082,0.034,1037,0.217,0.185,0.114,nba_api:leaguedashplayerstats
WNBA,2002,100387,Astou Ndiaye-Diatta,1611661321,DET,1,29.0,32,,775.5783333333334,126,270,0.467,0,2,0.0,23,39,0.59,44,118,162,39,17,12,58,65,275,-68,90.8,94.3,-3.5,0.479,0.467,0.205,0.11,0.061,0.162,0.111,0.11,1415,0.214,0.243,0.121,nba_api:leaguedashplayerstats
WNBA,2002,100695,Audrey Sauret,1611661322,WAS,1,26.0,15,,165.31,10,24,0.417,1,5,0.2,3,5,0.6,3,8,11,18,8,2,15,12,24,7,99.0,97.0,2.0,0.458,0.438,0.117,0.175,0.021,0.057,0.039,0.046,299,0.081,0.083,0.269,nba_api:leaguedashplayerstats
WNBA,2002,100740,Ayana Walker,1611661321,DET,1,23.0,32,,549.2966666666666,63,167,0.377,2,9,0.222,34,49,0.694,56,62,118,17,12,34,29,56,162,-2,94.1,92.9,1.2,0.43,0.383,0.186,0.066,0.109,0.116,0.112,0.085,979,0.176,0.258,0.096,nba_api:leaguedashplayerstats
WNBA,2002,100494,Barbara Farris,1611661321,DET,1,26.0,32,,564.9733333333334,49,117,0.419,0,1,0.0,45,61,0.738,29,65,94,16,12,9,38,62,143,-11,92.7,93.2,-0.4,0.497,0.419,0.15,0.052,0.055,0.122,0.089,0.055,1046,0.147,0.197,0.073,nba_api:leaguedashplayerstats
WNBA,2002,100342,Becky Hammon,1611661313,NYL,1,26.0,32,,657.0716666666667,87,197,0.442,44,114,0.386,38,56,0.679,18,50,68,54,25,0,55,49,256,11,93.7,92.7,1.0,0.578,0.553,0.218,0.184,0.034,0.087,0.062,0.122,1108,0.247,0.151,0.219,nba_api:leaguedashplayerstats
WNBA,2002,100803,Begona Garcia,1611661321,DET,1,26.0,8,,62.42,2,11,0.182,2,6,0.333,2,4,0.5,0,4,4,9,3,0,11,8,8,-26,81.7,103.3,-21.7,0.313,0.273,0.175,0.29,0.0,0.077,0.036,-0.047,120,0.082,0.114,0.391,nba_api:leaguedashplayerstats
WNBA,2002,100807,Bernadette Ngoyisa,1611661313,NYL,1,20.0,7,,11.561666666666667,3,5,0.6,0,0,0.0,0,0,0.0,1,4,5,0,0,2,0,2,6,0,79.3,85.2,-5.9,0.6,0.6,0.147,0.0,0.077,0.0,0.0,0.203,29,0.261,0.333,0.0,nba_api:leaguedashplayerstats
WNBA,2002,100484,Betty Lennox,1611661326,MIA,2,26.0,31,,716.89,120,355,0.338,51,154,0.331,50,68,0.735,20,69,89,63,30,5,82,102,341,-53,93.6,98.6,-5.0,0.443,0.41,0.321,0.204,0.031,0.119,0.072,0.05,1247,0.292,0.184,0.25,nba_api:leaguedashplayerstats
WNBA,2002,100744,Brandi McCain,1611661315,CLE,1,23.0,31,,390.82,25,86,0.291,21,58,0.362,12,16,0.75,4,22,26,41,11,3,34,29,83,-90,84.1,98.2,-14.1,0.446,0.413,0.165,0.23,0.012,0.065,0.039,0.038,686,0.144,0.098,0.313,nba_api:leaguedashplayerstats
WNBA,2002,100225,Brandy Reed,1611661317,PHO,1,26.0,5,,85.28333333333333,15,41,0.366,0,5,0.0,8,11,0.727,1,3,4,4,2,3,8,8,38,-29,88.3,105.5,-17.1,0.414,0.366,0.28,0.103,0.012,0.035,0.023,0.021,163,0.264,0.056,0.133,nba_api:leaguedashplayerstats
WNBA,2002,100031,Bridget Pettis,1611661325,IND,1,32.0,32,,372.31166666666667,38,107,0.355,9,43,0.209,28,39,0.718,17,22,39,17,8,0,24,22,113,29,96.6,92.1,4.6,0.455,0.397,0.193,0.095,0.05,0.071,0.06,0.053,656,0.178,0.134,0.134,nba_api:leaguedashplayerstats
WNBA,2002,100667,Brooke Wyckoff,1611661323,ORL,1,23.0,32,,515.2216666666667,31,95,0.326,14,50,0.28,5,7,0.714,28,62,90,32,19,18,30,71,81,-3,97.2,95.6,1.6,0.413,0.4,0.119,0.113,0.056,0.138,0.095,0.047,901,0.092,0.243,0.193,nba_api:leaguedashplayerstats
WNBA,2002,100652,Camille Cooper,1611661313,NYL,1,24.0,23,,120.18333333333334,11,28,0.393,0,0,0.0,5,8,0.625,5,11,16,3,4,5,10,28,27,-4,80.5,83.2,-2.7,0.428,0.393,0.179,0.059,0.053,0.103,0.08,-0.042,210,0.16,0.2,0.077,nba_api:leaguedashplayerstats
WNBA,2002,100411,Carla McGhee,1611661323,ORL,1,35.0,2,,3.9133333333333336,2,4,0.5,0,0,0.0,1,1,1.0,1,0,1,0,0,0,0,0,5,-4,112.5,162.5,-50.0,0.563,0.5,0.4,0.0,0.0,0.0,0.0,0.179,8,0.556,0.5,0.0,nba_api:leaguedashplayerstats
WNBA,2002,100674,Carolyn Moos,1611661326,MIA,1,25.0,2,,4.64,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,0,-5,75.0,122.2,-47.2,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-0.238,8,0.0,0.0,0.0,nba_api:leaguedashplayerstats
WNBA,2002,100344,Carolyn Young,1611661327,POR,1,33.0,19,,185.98166666666665,26,74,0.351,10,22,0.455,21,24,0.875,5,9,14,12,4,0,18,18,83,37,96.3,88.3,8.0,0.491,0.419,0.238,0.115,0.028,0.051,0.039,0.054,375,0.23,0.104,0.145,nba_api:leaguedashplayerstats
WNBA,2002,100294,Cass Bauer-Bilodeau,1611661318,SAC,1,31.0,25,,231.96166666666667,17,57,0.298,0,0,0.0,9,15,0.6,14,27,41,1,2,5,25,34,43,-62,80.2,93.1,-13.0,0.338,0.298,0.185,0.009,0.062,0.134,0.096,-0.054,414,0.13,0.266,0.013,nba_api:leaguedashplayerstats
WNBA,2002,100356,Chamique Holdsclaw,1611661322,WAS,1,25.0,20,,626.38,148,326,0.454,11,27,0.407,87,105,0.829,54,175,229,44,20,6,44,49,394,57,97.9,92.8,5.1,0.529,0.471,0.322,0.168,0.095,0.285,0.193,0.25,1103,0.365,0.431,0.175,nba_api:leaguedashplayerstats
WNBA,2002,100371,Charlotte Smith,1611661314,CHA,1,29.0,32,,888.945,91,222,0.41,34,91,0.374,40,54,0.741,39,82,121,53,21,17,60,113,256,95,104.1,96.7,7.4,0.521,0.486,0.176,0.12,0.052,0.11,0.081,0.057,1498,0.164,0.186,0.154,nba_api:leaguedashplayerstats
WNBA,2002,100433,Chasity Melvin,1611661315,CLE,1,27.0,32,,1046.865,152,328,0.463,3,6,0.5,89,129,0.69,83,108,191,55,29,18,73,103,396,-62,95.5,98.3,-2.7,0.515,0.468,0.224,0.118,0.093,0.125,0.109,0.101,1762,0.235,0.25,0.142,nba_api:leaguedashplayerstats
WNBA,2002,100514,Cintia dos Santos,1611661323,ORL,1,28.0,26,,260.185,26,53,0.491,0,1,0.0,36,46,0.783,15,20,35,10,4,13,20,48,88,-27,96.3,99.6,-3.3,0.601,0.491,0.183,0.079,0.07,0.084,0.078,0.053,457,0.2,0.192,0.114,nba_api:leaguedashplayerstats
WNBA,2002,100395,Clarisse Machanguana,1611661323,ORL,1,26.0,29,,428.91833333333335,61,114,0.535,0,0,0.0,16,25,0.64,26,38,64,17,12,4,33,61,138,-91,88.1,98.6,-10.4,0.552,0.535,0.182,0.089,0.068,0.105,0.086,0.066,750,0.209,0.227,0.123,nba_api:leaguedashplayerstats
WNBA,2002,100386,Claudia Neves,1611661326,MIA,1,28.0,19,,177.68166666666667,11,30,0.367,4,20,0.2,11,16,0.688,0,7,7,21,8,0,12,16,37,-8,88.6,92.2,-3.6,0.499,0.433,0.131,0.233,0.0,0.047,0.022,0.055,325,0.128,0.053,0.362,nba_api:leaguedashplayerstats
WNBA,2002,100797,Claudia Neves,1611661326,MIA,1,28.0,1,,17.311666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,4,0,0,1,2,0,0,128.0,123.1,4.9,0.0,0.0,0.065,0.308,0.0,0.0,0.0,0.0,25,0.0,0.0,0.667,nba_api:leaguedashplayerstats
WNBA,2002,100690,Coco Miller,1611661322,WAS,1,24.0,32,,897.5466666666666,113,262,0.431,24,64,0.375,46,56,0.821,44,72,116,82,32,2,59,83,296,45,95.6,92.3,3.4,0.516,0.477,0.188,0.183,0.053,0.085,0.069,0.1,1557,0.199,0.156,0.228,nba_api:leaguedashplayerstats
WNBA,2002,100217,Coquese Washington,1611661325,IND,2,32.0,32,,672.4583333333334,43,120,0.358,22,52,0.423,16,22,0.727,14,60,74,79,36,2,44,60,124,61,95.3,90.1,5.3,0.478,0.45,0.129,0.223,0.024,0.098,0.061,0.077,1157,0.112,0.146,0.303,nba_api:leaguedashplayerstats
WNBA,2002,100345,Crystal Robinson,1611661313,NYL,1,29.0,32,,1065.2083333333333,126,302,0.417,67,181,0.37,58,71,0.817,22,69,91,81,48,12,52,101,377,132,99.3,92.2,7.2,0.566,0.528,0.186,0.153,0.025,0.074,0.05,0.117,1777,0.214,0.127,0.191,nba_api:leaguedashplayerstats
WNBA,2002,100730,Danielle Crockrom,1611661319,UTA,1,22.0,18,,83.64333333333333,10,28,0.357,0,1,0.0,9,12,0.75,6,7,13,2,0,2,3,8,29,2,88.1,89.0,-0.9,0.436,0.357,0.179,0.053,0.064,0.077,0.07,0.059,176,0.187,0.188,0.065,nba_api:leaguedashplayerstats
WNBA,2002,100471,Danielle McCulley,1611661328,SEA,1,28.0,4,,42.9,0,12,0.0,0,3,0.0,2,2,1.0,3,4,7,1,1,0,2,5,2,-24,75.6,107.8,-32.2,0.078,0.0,0.153,0.056,0.061,0.108,0.081,-0.119,78,0.034,0.206,0.111,nba_api:leaguedashplayerstats
WNBA,2002,100743,Davalyn Cunningham,1611661323,ORL,1,23.0,6,,21.488333333333333,0,5,0.0,0,0,0.0,0,0,0.0,1,1,2,0,2,0,1,5,0,-11,70.0,100.0,-30.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,-0.163,40,0.0,0.154,0.0,nba_api:leaguedashplayerstats
WNBA,2002,100372,Dawn Staley,1611661314,CHA,1,33.0,32,,1061.4766666666667,85,232,0.366,33,83,0.398,77,101,0.762,8,48,56,164,48,0,80,67,280,72,103.7,99.1,4.6,0.506,0.438,0.172,0.299,0.009,0.053,0.031,0.09,1768,0.153,0.073,0.407,nba_api:leaguedashplayerstats
WNBA,2002,100396,DeLisha Milton-Jones,1611661320,LAS,1,28.0,32,,963.8583333333333,132,271,0.487,21,50,0.42,77,104,0.74,65,146,211,45,50,35,94,122,362,159,99.4,90.5,8.9,0.571,0.526,0.197,0.087,0.073,0.147,0.112,0.115,1798,0.202,0.249,0.106,nba_api:leaguedashplayerstats
WNBA,2002,100533,DeMya Walker,1611661327,POR,1,25.0,31,,848.115,139,287,0.484,2,12,0.167,59,95,0.621,55,99,154,51,26,33,89,97,339,-46,93.2,96.8,-3.6,0.516,0.488,0.233,0.129,0.07,0.132,0.1,0.099,1536,0.237,0.258,0.163,nba_api:leaguedashplayerstats
WNBA,2002,100727,Deanna Jackson,1611661315,CLE,1,23.0,18,,144.60833333333332,19,46,0.413,0,3,0.0,17,24,0.708,10,17,27,6,2,1,9,11,55,-21,86.8,94.4,-7.6,0.486,0.413,0.216,0.1,0.079,0.125,0.103,0.112,250,0.253,0.227,0.128,nba_api:leaguedashplayerstats
WNBA,2002,100639,Deanna Nolan,1611661321,DET,1,23.0,32,,804.0766666666667,103,248,0.415,42,114,0.368,29,36,0.806,17,70,87,62,27,12,61,74,277,-89,90.0,95.8,-5.8,0.525,0.5,0.186,0.158,0.023,0.093,0.058,0.088,1489,0.207,0.132,0.193,nba_api:leaguedashplayerstats
WNBA,2002,100359,Debbie Black,1611661326,MIA,1,36.0,32,,898.33,64,160,0.4,0,3,0.0,25,33,0.758,41,82,123,137,59,5,32,75,153,-3,92.2,92.6,-0.4,0.438,0.4,0.117,0.293,0.051,0.112,0.08,0.136,1511,0.11,0.202,0.398,nba_api:leaguedashplayerstats
WNBA,2002,100384,Dominique Canty,1611661321,DET,1,26.0,28,,626.4316666666666,52,154,0.338,1,5,0.2,55,76,0.724,24,45,69,83,21,4,56,59,160,-101,88.1,96.6,-8.6,0.427,0.341,0.182,0.275,0.041,0.076,0.058,0.066,1130,0.161,0.132,0.388,nba_api:leaguedashplayerstats
WNBA,2002,100375,Edna Campbell,1611661318,SAC,1,34.0,1,,12.25,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,4,10,103.8,65.4,38.5,0.4,0.4,0.179,0.0,0.0,0.077,0.045,0.105,26,0.148,0.125,0.0,nba_api:leaguedashplayerstats
WNBA,2002,100492,Edwina Brown,1611661321,DET,1,24.0,28,,547.8633333333333,43,131,0.328,6,12,0.5,23,31,0.742,29,53,82,58,25,7,60,73,115,-134,87.6,100.1,-12.5,0.398,0.351,0.175,0.223,0.055,0.104,0.079,0.036,973,0.135,0.182,0.32,nba_api:leaguedashplayerstats
WNBA,2002,100414,Elaine Powell,1611661321,DET,2,27.0,30,,705.72,89,220,0.405,8,33,0.242,50,66,0.758,33,62,95,90,43,12,71,50,236,28,93.5,91.0,2.5,0.474,0.423,0.208,0.255,0.049,0.091,0.07,0.126,1286,0.196,0.155,0.332,nba_api:leaguedashplayerstats
WNBA,2002,100500,Elena Shakirova,1611661314,CHA,1,33.0,1,,5.416666666666667,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,1,0,0,0,1,1,150.0,137.5,12.5,0.568,0.0,0.083,0.0,0.0,0.0,0.0,0.079,8,0.083,0.2,0.0,nba_api:leaguedashplayerstats
WNBA,2002,100601,Elisa Aguilar,1611661319,UTA,1,26.0,28,,140.79666666666665,14,33,0.424,11,21,0.524,4,7,0.571,0,11,11,16,3,2,11,5,43,-4,95.4,102.2,-6.8,0.596,0.591,0.143,0.211,0.0,0.079,0.042,0.107,284,0.159,0.111,0.308,nba_api:leaguedashplayerstats
WNBA,2002,100812,Erika de Souza,1611661320,LAS,1,21.0,11,,41.81,5,14,0.357,0,0,0.0,2,10,0.2,8,6,14,2,3,0,6,14,12,-32,83.3,114.3,-31.0,0.326,0.357,0.225,0.091,0.19,0.136,0.163,-0.098,96,0.15,0.424,0.118,nba_api:leaguedashplayerstats
WNBA,2002,100659,Erin Perperoglou,1611661314,CHA,1,24.0,29,,390.1666666666667,33,82,0.402,4,11,0.364,25,36,0.694,32,59,91,18,13,15,27,61,95,8,99.2,96.9,2.4,0.485,0.427,0.162,0.091,0.096,0.163,0.131,0.073,665,0.144,0.323,0.126,nba_api:leaguedashplayerstats
WNBA,2002,100748,Felicia Ragland,1611661328,SEA,1,23.0,31,,433.80333333333334,48,125,0.384,22,55,0.4,23,28,0.821,27,21,48,23,27,1,29,44,141,65,99.2,91.4,7.8,0.513,0.472,0.179,0.104,0.068,0.059,0.064,0.072,786,0.181,0.142,0.127,nba_api:leaguedashplayerstats
WNBA,2002,100707,Georgia Schweitzer,1611661324,MIN,1,24.0,30,,512.7216666666667,42,87,0.483,14,33,0.424,26,30,0.867,7,44,51,37,15,5,27,47,124,-30,88.9,91.8,-3.0,0.619,0.563,0.124,0.159,0.017,0.095,0.058,0.108,888,0.157,0.136,0.211,nba_api:leaguedashplayerstats
WNBA,2002,100394,Gordana Grubin,1611661317,PHO,1,30.0,32,,861.9483333333334,114,297,0.384,29,92,0.315,60,79,0.759,16,48,64,104,36,3,58,59,317,-108,92.7,99.2,-6.6,0.478,0.433,0.218,0.241,0.02,0.063,0.041,0.094,1539,0.222,0.102,0.357,nba_api:leaguedashplayerstats
WNBA,2002,100482,Grace Daley,1611661316,HOU,1,25.0,23,,182.71166666666667,16,37,0.432,2,8,0.25,29,47,0.617,13,10,23,16,3,1,17,15,63,15,97.2,90.9,6.3,0.546,0.459,0.205,0.17,0.086,0.051,0.066,0.07,324,0.2,0.147,0.25,nba_api:leaguedashplayerstats
