season,team_code,playoff_round_reached,source
2012,CON,Lost 1 Round From Title,nba_api:reconstructed
2012,LAS,Lost 1 Round From Title,nba_api:reconstructed
2012,NYL,Lost 2 Rounds From Title,nba_api:reconstructed
2012,SAS,Lost 2 Rounds From Title,nba_api:reconstructed
2012,ATL,Lost 2 Rounds From Title,nba_api:reconstructed
2012,SEA,Lost 2 Rounds From Title,nba_api:reconstructed
2012,MIN,Lost Finals,nba_api:reconstructed
2013,MIN,Champion,nba_api:reconstructed
2013,PHO,Lost 1 Round From Title,nba_api:reconstructed
2013,IND,Lost 1 Round From Title,nba_api:reconstructed
2013,WAS,Lost 2 Rounds From Title,nba_api:reconstructed
2013,LAS,Lost 2 Rounds From Title,nba_api:reconstructed
2013,CHI,Lost 2 Rounds From Title,nba_api:reconstructed
2013,SEA,Lost 2 Rounds From Title,nba_api:reconstructed
2013,ATL,Lost Finals,nba_api:reconstructed
2014,PHO,Champion,nba_api:reconstructed
2014,IND,Lost 1 Round From Title,nba_api:reconstructed
2014,MIN,Lost 1 Round From Title,nba_api:reconstructed
2014,WAS,Lost 2 Rounds From Title,nba_api:reconstructed
2014,SAS,Lost 2 Rounds From Title,nba_api:reconstructed
2014,ATL,Lost 2 Rounds From Title,nba_api:reconstructed
2014,LAS,Lost 2 Rounds From Title,nba_api:reconstructed
2014,CHI,Lost Finals,nba_api:reconstructed
2015,MIN,Champion,nba_api:reconstructed
2015,PHO,Lost 1 Round From Title,nba_api:reconstructed
2015,NYL,Lost 1 Round From Title,nba_api:reconstructed
2015,CHI,Lost 2 Rounds From Title,nba_api:reconstructed
2015,TUL,Lost 2 Rounds From Title,nba_api:reconstructed
2015,LAS,Lost 2 Rounds From Title,nba_api:reconstructed
2015,WAS,Lost 2 Rounds From Title,nba_api:reconstructed
2015,IND,Lost Finals,nba_api:reconstructed
2016,LAS,Champion,nba_api:reconstructed
2016,PHO,Lost 1 Round From Title,nba_api:reconstructed
2016,CHI,Lost 1 Round From Title,nba_api:reconstructed
2016,ATL,Lost 2 Rounds From Title,nba_api:reconstructed
2016,NYL,Lost 2 Rounds From Title,nba_api:reconstructed
2016,SEA,Lost 3 Rounds From Title,nba_api:reconstructed
2016,IND,Lost 3 Rounds From Title,nba_api:reconstructed
2016,MIN,Lost Finals,nba_api:reconstructed
2017,MIN,Champion,nba_api:reconstructed
2017,WAS,Lost 1 Round From Title,nba_api:reconstructed
2017,PHO,Lost 1 Round From Title,nba_api:reconstructed
2017,CON,Lost 2 Rounds From Title,nba_api:reconstructed
2017,NYL,Lost 2 Rounds From Title,nba_api:reconstructed
2017,DAL,Lost 3 Rounds From Title,nba_api:reconstructed
2017,SEA,Lost 3 Rounds From Title,nba_api:reconstructed
2017,LAS,Lost Finals,nba_api:reconstructed
2018,SEA,Champion,nba_api:reconstructed
2018,PHO,Lost 1 Round From Title,nba_api:reconstructed
2018,ATL,Lost 1 Round From Title,nba_api:reconstructed
2018,LAS,Lost 2 Rounds From Title,nba_api:reconstructed
2018,CON,Lost 2 Rounds From Title,nba_api:reconstructed
2018,DAL,Lost 3 Rounds From Title,nba_api:reconstructed
2018,MIN,Lost 3 Rounds From Title,nba_api:reconstructed
2018,WAS,Lost Finals,nba_api:reconstructed
2019,WAS,Champion,nba_api:reconstructed
2019,LVA,Lost 1 Round From Title,nba_api:reconstructed
2019,LAS,Lost 1 Round From Title,nba_api:reconstructed
2019,CHI,Lost 2 Rounds From Title,nba_api:reconstructed
2019,SEA,Lost 2 Rounds From Title,nba_api:reconstructed
2019,PHO,Lost 3 Rounds From Title,nba_api:reconstructed
2019,MIN,Lost 3 Rounds From Title,nba_api:reconstructed
2019,CON,Lost Finals,nba_api:reconstructed
2020,SEA,Champion,nba_api:reconstructed
2020,CON,Lost 1 Round From Title,nba_api:reconstructed
2020,MIN,Lost 1 Round From Title,nba_api:reconstructed
2020,PHO,Lost 2 Rounds From Title,nba_api:reconstructed
2020,LAS,Lost 2 Rounds From Title,nba_api:reconstructed
2020,CHI,Lost 3 Rounds From Title,nba_api:reconstructed
2020,WAS,Lost 3 Rounds From Title,nba_api:reconstructed
2020,LVA,Lost Finals,nba_api:reconstructed
2021,CHI,Champion,nba_api:reconstructed
2021,CON,Lost 1 Round From Title,nba_api:reconstructed
2021,LVA,Lost 1 Round From Title,nba_api:reconstructed
2021,MIN,Lost 2 Rounds From Title,nba_api:reconstructed
2021,SEA,Lost 2 Rounds From Title,nba_api:reconstructed
2021,DAL,Lost 3 Rounds From Title,nba_api:reconstructed
2021,NYL,Lost 3 Rounds From Title,nba_api:reconstructed
2021,PHO,Lost Finals,nba_api:reconstructed
2022,LVA,Champion,nba_api:reconstructed
