LEAGUE,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,USG_PCT,TS_PCT,PIE,WIN_SHARES
WNBA,1997,100029,Michele Timms,1611661317,PHO,27,35.4,11.6,3.7,5.0,0.193,0.472,0.118,
WNBA,1997,100088,Michelle Edwards,1611661315,CLE,20,31.2,10.2,3.5,4.5,0.214,0.488,0.1,
WNBA,1997,100019,Mikiko Hagiwara,1611661317,PHO,26,14.2,3.3,0.9,0.9,0.137,0.439,0.039,
WNBA,1997,100066,Milica Vukadinovic,1611661314,CHA,1,14.4,3.0,1.0,1.0,0.103,1.5,0.053,
WNBA,1997,100057,Molly Tuter,1611661317,PHO,3,0.9,0.0,0.0,0.0,0.25,0.0,1.0,
WNBA,1997,100036,Monique Ambers,1611661317,PHO,19,4.6,0.7,1.1,0.2,0.105,0.449,0.0,
WNBA,1997,100012,Mwadi Mabika,1611661320,LAS,21,15.7,6.2,2.6,0.9,0.222,0.45,0.077,
WNBA,1997,100032,Nancy Lieberman,1611661317,PHO,25,11.2,2.6,1.3,1.6,0.184,0.393,0.041,
WNBA,1997,100155,Nicole Levesque,1611661314,CHA,27,23.0,4.0,1.7,2.8,0.132,0.521,0.049,
WNBA,1997,100020,Pam McGee,1611661318,SAC,27,25.4,10.0,4.4,0.8,0.224,0.512,0.047,
WNBA,1997,100374,Penny Moore,1611661314,CHA,28,19.3,4.8,2.6,1.0,0.186,0.391,0.045,
WNBA,1997,100004,Penny Toler,1611661320,LAS,28,31.4,13.1,3.4,4.9,0.239,0.495,0.116,
WNBA,1997,100081,Pietra Gay,1611661316,HOU,5,2.5,0.8,0.6,0.4,0.296,0.476,-0.038,
WNBA,1997,100049,Raegan Scott,1611661319,UTA,8,5.2,1.5,0.9,0.1,0.123,0.432,0.096,
WNBA,1997,100002,Rebecca Lobo,1611661313,NYL,28,33.5,12.4,7.3,1.9,0.232,0.435,0.105,
WNBA,1997,100108,Rhonda Blades,1611661313,NYL,28,10.4,2.9,0.8,1.1,0.172,0.508,-0.007,
WNBA,1997,100060,Rhonda Mapp,1611661314,CHA,28,25.5,11.6,5.5,2.3,0.236,0.561,0.129,
WNBA,1997,100097,Rushia Brown,1611661315,CLE,28,18.3,6.3,4.0,0.7,0.16,0.579,0.146,
WNBA,1997,100016,Ruthie Bolton,1611661318,SAC,24,34.2,18.3,5.8,2.4,0.259,0.503,0.144,
WNBA,1997,100041,Ryneldi Becenti,1611661317,PHO,1,8.3,0.0,0.0,0.0,0.053,0.0,0.0,
WNBA,1997,100063,Sharon Manning,1611661314,CHA,28,15.6,4.9,3.5,0.5,0.183,0.466,0.107,
WNBA,1997,100072,Sheryl Swoopes,1611661316,HOU,9,14.4,7.1,1.7,0.8,0.24,0.541,0.192,
WNBA,1997,100105,Sophia Witherspoon,1611661313,NYL,28,30.9,14.5,3.0,2.3,0.241,0.517,0.124,
WNBA,1997,100104,Sue Wicks,1611661313,NYL,28,11.8,3.5,3.4,1.0,0.216,0.406,0.099,
WNBA,1997,100071,Susie Hopson-Shelton,1611661314,CHA,6,4.8,2.7,0.8,0.2,0.212,0.673,0.211,
WNBA,1997,100023,Tajama Abraham,1611661318,SAC,28,14.7,4.9,2.3,0.4,0.202,0.473,0.013,
WNBA,1997,100008,Tamecka Dixon,1611661320,LAS,27,26.4,12.3,3.1,2.0,0.22,0.563,0.136,
WNBA,1997,100047,Tammi Reiss,1611661319,UTA,28,29.6,7.8,2.8,3.1,0.167,0.425,0.052,
WNBA,1997,100077,Tammy Jackson,1611661316,HOU,28,19.0,4.1,4.1,0.4,0.152,0.453,0.051,
WNBA,1997,100038,Tara Williams,1611661317,PHO,12,6.9,3.1,0.7,0.3,0.223,0.474,0.101,
WNBA,1997,100101,Teresa Weatherspoon,1611661313,NYL,28,32.9,7.0,4.1,6.2,0.133,0.541,0.153,
WNBA,1997,100034,Tia Jackson,1611661317,PHO,26,12.2,2.8,2.0,1.0,0.161,0.444,0.092,
WNBA,1997,100086,Tiffany Woosley,1611661316,HOU,26,15.6,2.9,1.1,1.0,0.135,0.411,0.036,
WNBA,1997,100093,Tina Nicholson,1611661315,CLE,24,11.3,2.0,0.4,1.8,0.123,0.519,0.039,
WNBA,1997,100076,Tina Thompson,1611661316,HOU,28,31.7,13.2,6.5,1.1,0.212,0.527,0.117,
WNBA,1997,100033,Toni Foster,1611661317,PHO,28,25.9,8.5,6.0,1.0,0.176,0.513,0.147,
WNBA,1997,100062,Tora Suber,1611661314,CHA,28,17.0,4.7,1.5,2.0,0.173,0.52,0.071,
WNBA,1997,100010,Travesa Gant,1611661320,LAS,3,13.5,0.0,1.3,0.3,0.095,0.0,-0.034,
WNBA,1997,100106,Trena Trice-Hill,1611661313,NYL,28,12.2,4.8,2.4,0.1,0.195,0.599,0.074,
WNBA,1997,100035,Umeki Webb,1611661317,PHO,28,27.3,5.0,4.0,2.4,0.14,0.373,0.064,
