LEAGUE,SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,SRS
WNBA,2001,1611661315,Cleveland Rockers,32,22,10,0.688,62.6,96.5,85.9,10.6,77.68,0.503,6.029773442685837
WNBA,2001,1611661321,Detroit Shock,32,10,22,0.313,65.7,92.3,99.9,-7.6,83.36,0.489,-5.067031117359875
WNBA,2001,1611661316,Houston Comets,32,19,13,0.594,64.0,94.5,91.5,3.0,80.87,0.477,1.422051911795279
WNBA,2001,1611661325,Indiana Fever,32,10,22,0.313,67.2,96.1,99.6,-3.5,83.38,0.517,-2.936858746659709
WNBA,2001,1611661320,Los Angeles Sparks,32,28,4,0.875,76.3,105.3,93.6,11.6,85.84,0.532,8.205850885657128
WNBA,2001,1611661326,Miami Sol,32,20,12,0.625,61.2,91.7,88.7,3.0,78.02,0.481,1.566036082105711
WNBA,2001,1611661324,Minnesota Lynx,32,12,20,0.375,64.8,91.7,94.8,-3.2,84.14,0.487,-2.2216419400647283
WNBA,2001,1611661313,New York Liberty,32,21,11,0.656,67.6,99.0,95.4,3.6,81.84,0.528,2.187235691875685
WNBA,2001,1611661323,Orlando Miracle,32,13,19,0.406,66.9,93.5,96.6,-3.1,85.06,0.493,-1.8562170895456802
WNBA,2001,1611661317,Phoenix Mercury,32,13,19,0.406,64.5,90.1,95.0,-4.9,85.12,0.479,-2.9635810703912284
WNBA,2001,1611661327,Portland Fire,32,11,21,0.344,65.3,90.2,95.3,-5.1,85.06,0.483,-3.172718889953103
WNBA,2001,1611661318,Sacramento Monarchs,32,20,12,0.625,71.7,99.0,92.4,6.6,85.2,0.511,4.765270378702553
WNBA,2001,1611661328,Seattle Storm,32,10,22,0.313,60.0,89.0,95.2,-6.2,78.98,0.46,-3.3593925741151907
WNBA,2001,1611661319,Utah Starzz,32,19,13,0.594,69.0,96.1,96.5,-0.4,84.66,0.514,0.6413773985404987
WNBA,2001,1611661322,Washington Mystics,32,10,22,0.313,60.2,86.4,92.7,-6.3,82.52,0.451,-4.6395827281230595
WNBA,2002,1611661314,Charlotte Sting,32,18,14,0.563,70.0,104.4,99.4,5.0,79.83,0.538,2.756978156219702
WNBA,2002,1611661315,Cleveland Rockers,32,10,22,0.313,64.3,95.1,97.9,-2.7,79.9,0.502,-2.0884957955568098
